Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
1,0,Filtered_Small,0,1210.442352,271.419627,10.0,0.5
1,0,Filtered_Large,1,1217.506882,939.080653,10.0,0.5
1,1,Filtered_Small,0,1149.567279,946.588561,10.0,0.5
1,1,Filtered_Large,1,1166.549699,368.232972,10.0,0.5
1,2,Filtered_Small,0,262.506883,974.835340,10.0,0.5
1,2,Filtered_Large,1,249.852810,339.998599,10.0,0.5
1,3,Filtered_Small,0,199.036267,244.488608,10.0,0.5
1,3,Filtered_Large,1,190.499378,899.598264,10.0,0.5
2,0,Filtered_Small,0,1215.358243,272.139023,10.0,0.5
2,0,Filtered_Large,1,1222.992129,939.920756,10.0,0.5
2,1,Filtered_Small,0,1153.943229,947.189233,10.0,0.5
2,1,Filtered_Large,1,1170.768729,368.796931,10.0,0.5
2,2,Filtered_Small,0,257.182175,975.518834,10.0,0.5
2,2,Filtered_Large,1,245.138920,340.607466,10.0,0.5
2,3,Filtered_Small,0,195.100773,245.064420,10.0,0.5
2,3,Filtered_Large,1,185.481767,900.118362,10.0,0.5
3,0,Filtered_Small,0,1219.934616,272.657501,10.0,0.5
3,0,Filtered_Large,1,1228.471119,940.638502,10.0,0.5
3,1,Filtered_Small,0,1158.721140,947.758577,10.0,0.5
3,1,Filtered_Large,1,1175.044611,369.351357,10.0,0.5
3,2,Filtered_Small,0,251.690388,976.159940,10.0,0.5
3,2,Filtered_Large,1,240.528001,341.139187,10.0,0.5
3,3,Filtered_Small,0,191.492357,245.632968,10.0,0.5
3,3,Filtered_Large,1,180.378376,900.667970,10.0,0.5
26,0,Filtered_Small,0,1216.399219,260.929084,10.0,0.5
26,0,Filtered_Large,1,1220.984458,932.835186,10.0,0.5
26,1,Filtered_Small,0,1159.365760,940.333981,10.0,0.5
26,1,Filtered_Large,1,1178.889447,359.222921,10.0,0.5
26,2,Filtered_Small,0,252.566613,963.373239,10.0,0.5
26,2,Filtered_Large,1,238.573341,330.696792,10.0,0.5
26,3,Filtered_Small,0,194.928835,234.430712,10.0,0.5
26,3,Filtered_Large,1,188.945993,887.398094,10.0,0.5
27,0,Filtered_Small,0,1211.183640,259.860784,10.0,0.5
27,0,Filtered_Large,1,1214.552250,931.464185,10.0,0.5
27,1,Filtered_Small,0,1154.507626,939.157457,10.0,0.5
27,1,Filtered_Large,1,1174.306564,358.321095,10.0,0.5
27,2,Filtered_Small,0,258.746050,962.139267,10.0,0.5
27,2,Filtered_Large,1,243.591562,329.717556,10.0,0.5
27,3,Filtered_Small,0,199.755512,233.595642,10.0,0.5
27,3,Filtered_Large,1,195.163055,886.369102,10.0,0.5
28,0,Filtered_Small,0,1205.205301,258.643269,10.0,0.5
28,0,Filtered_Large,1,1207.674691,930.086641,10.0,0.5
28,1,Filtered_Small,0,1149.659396,938.116883,10.0,0.5
28,1,Filtered_Large,1,1169.659791,357.196438,10.0,0.5
28,2,Filtered_Small,0,265.039398,960.691940,10.0,0.5
