Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
1,0,Filtered_Small,0,982.479618,579.719326,37.0000,0.2
1,0,Filtered_Large,1,1218.024433,554.666863,51.0000,0.3
1,1,Filtered_Small,0,987.340775,575.604136,43.0000,0.3
1,1,Filtered_Large,1,1231.372671,506.973253,59.0000,0.3
1,2,Filtered_Small,0,1252.232341,472.523158,49.0000,0.6
1,2,Filtered_Large,1,936.266584,510.832609,67.0000,0.5
1,3,Filtered_Small,0,1062.795208,411.117423,50.0000,0.5
1,3,Filtered_Large,1,756.422227,458.359578,68.0000,0.4
2,0,Filtered_Small,0,984.687088,584.503865,37.0000,0.2
2,0,Filtered_Large,1,1218.604155,558.727172,51.0000,0.3
2,1,Filtered_Small,0,994.129477,579.891748,42.0000,0.4
2,1,Filtered_Large,1,1236.287062,513.202470,57.0000,0.3
2,2,Filtered_Small,0,1248.011997,468.801442,49.0000,0.7
2,2,Filtered_Large,1,932.785995,506.793494,66.0000,0.5
2,3,Filtered_Small,0,1057.903847,410.657348,50.0000,0.5
2,3,Filtered_Large,1,751.699691,458.108947,68.0000,0.4
3,0,Filtered_Small,0,976.276901,588.028874,37.0000,0.2
3,0,Filtered_Large,1,1210.954827,563.167392,51.0000,0.3
3,1,Filtered_Small,0,986.922711,583.445365,42.0000,0.3
3,1,Filtered_Large,1,1230.643113,516.668744,58.0000,0.3
3,2,Filtered_Small,0,1260.968031,466.246429,49.0000,0.7
3,2,Filtered_Large,1,944.689401,502.487535,67.0000,0.5
3,3,Filtered_Small,0,1066.004466,406.183166,50.0000,0.5
3,3,Filtered_Large,1,761.316225,455.207075,68.0000,0.4
4,0,Filtered_Small,0,940.823517,595.135487,37.0000,0.2
4,0,Filtered_Large,1,1180.332383,565.868725,50.0000,0.4
4,1,Filtered_Small,0,948.524749,599.251266,42.0000,0.3
4,1,Filtered_Large,1,1195.138672,529.202177,60.0000,0.3
4,2,Filtered_Small,0,1305.506981,453.636248,49.0000,0.6
4,2,Filtered_Large,1,990.916344,491.476518,66.0000,0.5
4,3,Filtered_Small,0,1112.402143,391.287032,50.0000,0.5
4,3,Filtered_Large,1,807.858496,441.103185,68.0000,0.4
5,0,Filtered_Small,0,900.431334,596.639084,38.0000,0.2
5,0,Filtered_Large,1,1137.440441,565.118980,51.0000,0.3
5,1,Filtered_Small,0,896.913372,610.254832,42.0000,0.2
5,1,Filtered_Large,1,1138.779247,540.379438,60.0000,0.2
5,2,Filtered_Small,0,1361.759959,445.659965,50.0000,0.6
5,2,Filtered_Large,1,1043.856207,487.733899,67.0000,0.5
5,3,Filtered_Small,0,1169.947942,377.337458,50.0000,0.5
5,3,Filtered_Large,1,868.652901,430.023556,68.0000,0.4
6,0,Filtered_Small,0,898.388016,594.149892,38.0000,0.2
6,0,Filtered_Large,1,1136.666724,561.087288,52.0000,0.2
6,1,Filtered_Small,0,883.341625,609.930759,42.0000,0.2
6,1,Filtered_Large,1,1125.823820,540.259096,60.0000,0.2
6,2,Filtered_Small,0,1362.858688,437.120817,49.0000,0.6
6,2,Filtered_Large,1,1046.686378,483.642188,68.0000,0.6
6,3,Filtered_Small,0,1179.917296,368.385542,51.0000,0.4
6,3,Filtered_Large,1,877.607043,420.445874,69.0000,0.4
7,0,Filtered_Small,0,923.665608,577.645149,38.0000,0.2
7,0,Filtered_Large,1,1163.065265,549.685635,49.0000,0.3
7,1,Filtered_Small,0,892.135699,590.485448,43.0000,0.2
7,1,Filtered_Large,1,1130.816040,519.418392,59.0000,0.2
7,2,Filtered_Small,0,1328.940707,452.710990,49.0000,0.6
7,2,Filtered_Large,1,1011.653626,490.991807,69.0000,0.5
7,3,Filtered_Small,0,1161.414204,373.659253,51.0000,0.4
7,3,Filtered_Large,1,857.502141,421.766185,70.0000,0.4
8,0,Filtered_Small,0,841.693305,568.267622,38.0000,0.2
8,0,Filtered_Large,1,1081.608077,531.729631,52.0000,0.2
8,1,Filtered_Small,0,785.266057,595.640137,42.0000,0.2
8,1,Filtered_Large,1,1024.579940,518.112745,61.0000,0.2
8,2,Filtered_Small,0,1436.559532,449.283543,49.0000,0.5
8,2,Filtered_Large,1,1117.238323,498.355034,70.0000,0.4
8,3,Filtered_Small,0,1280.748694,360.012885,51.0000,0.3
8,3,Filtered_Large,1,976.832891,415.167839,70.0000,0.4
10,0,Filtered_Small,0,720.932755,529.090241,39.0000,0.3
10,0,Filtered_Large,1,964.757612,488.089009,53.0000,0.2
10,1,Filtered_Small,0,612.428457,579.945555,44.0000,0.3
10,1,Filtered_Large,1,855.080500,497.261774,63.0000,0.2
10,2,Filtered_Small,0,1604.654746,470.020203,53.0000,0.5
10,2,Filtered_Large,1,1275.674506,530.007402,71.0000,0.3
10,3,Filtered_Small,0,1471.951051,351.358038,53.0000,0.2
10,3,Filtered_Large,1,1165.084780,419.042895,72.0000,0.2
11,0,Filtered_Small,0,650.887559,504.984547,39.0000,0.3
11,0,Filtered_Large,1,897.569119,459.560473,53.0000,0.3
11,1,Filtered_Small,0,505.719837,570.380824,43.0000,0.2
11,1,Filtered_Large,1,755.292485,481.091390,60.0000,0.2
11,2,Filtered_Small,0,1702.254378,483.088478,54.0000,0.4
11,2,Filtered_Large,1,1368.462438,548.112234,73.0000,0.3
11,3,Filtered_Small,0,1588.283401,345.842072,53.0000,0.3
11,3,Filtered_Large,1,1275.551863,422.750531,72.0000,0.3
12,0,Filtered_Small,0,652.924852,475.914304,39.0000,0.2
12,0,Filtered_Large,1,903.246875,432.470511,54.0000,0.2
12,1,Filtered_Small,0,466.311412,546.191610,44.0000,0.2
12,1,Filtered_Large,1,722.668246,456.439572,61.0000,0.2
12,2,Filtered_Small,0,1701.053666,496.212031,53.0000,0.4
12,2,Filtered_Large,1,1365.581932,562.235213,68.0000,0.2
12,3,Filtered_Small,0,1619.030300,341.178909,55.0000,0.3
12,3,Filtered_Large,1,1297.039760,417.713165,74.0000,0.2
13,0,Filtered_Small,0,656.850951,446.796358,40.0000,0.2
13,0,Filtered_Large,1,912.779695,404.079713,55.0000,0.3
13,1,Filtered_Small,0,425.847486,521.457157,46.0000,0.2
13,1,Filtered_Large,1,685.587472,431.775287,62.0000,0.2
13,2,Filtered_Small,0,1698.536540,507.788204,54.0000,0.3
13,2,Filtered_Large,1,1350.943466,573.058520,74.0000,0.2
13,3,Filtered_Small,0,1650.141080,330.754597,56.0000,0.4
13,3,Filtered_Large,1,1320.607658,408.328423,76.0000,0.3
17,0,Filtered_Small,0,695.785733,334.404467,43.0000,0.4
17,0,Filtered_Large,1,967.870372,301.361199,58.0000,0.3
17,1,Filtered_Small,0,306.299827,425.036671,48.0000,0.3
17,1,Filtered_Large,1,584.598626,338.022910,65.0000,0.3
17,2,Filtered_Small,0,1389.108113,177.547829,46.0000,0.2
17,2,Filtered_Large,1,1654.264723,565.459278,60.0000,0.3
17,3,Filtered_Small,0,1731.255705,309.966404,60.0000,0.7
17,3,Filtered_Large,1,1367.996902,377.887467,82.0000,0.4
18,0,Filtered_Small,0,684.324985,317.205878,42.0000,0.3
18,0,Filtered_Large,1,957.253624,282.007349,58.0000,0.3
18,1,Filtered_Small,0,250.121779,415.353169,49.0000,0.4
18,1,Filtered_Large,1,531.644364,327.056747,66.0000,0.3
18,2,Filtered_Small,0,1407.911693,169.410012,20.0000,0.2
18,2,Filtered_Large,1,1676.873905,562.709872,59.0000,0.3
18,3,Filtered_Small,0,1416.473710,335.664003,60.0000,0.3
18,3,Filtered_Large,1,1785.246110,288.001389,61.0000,0.6
19,0,Filtered_Small,0,711.360386,289.847512,44.0000,0.4
19,0,Filtered_Large,1,990.970576,257.837208,59.0000,0.3
19,1,Filtered_Small,0,238.591501,390.629858,50.0000,0.4
19,1,Filtered_Large,1,524.405834,302.447611,67.0000,0.3
19,2,Filtered_Small,0,1493.819458,676.084718,50.0000,0.3
19,2,Filtered_Large,1,1637.491179,578.013323,63.0000,0.4
19,3,Filtered_Small,0,1579.417664,253.693490,20.0000,0.3
19,3,Filtered_Large,1,1781.153925,280.457988,61.0000,0.6
20,0,Filtered_Small,0,750.661509,260.788004,44.0000,0.5
20,0,Filtered_Large,1,1034.563557,231.457645,59.0000,0.3
20,1,Filtered_Small,0,243.888425,356.833177,50.0000,0.4
20,1,Filtered_Large,1,536.073003,270.785499,68.0000,0.3
20,2,Filtered_Small,0,1336.448027,557.284220,20.0000,0.3
20,2,Filtered_Large,1,1588.240689,606.232937,64.0000,0.4
20,3,Filtered_Small,0,1429.746906,342.155360,34.0000,0.3
20,3,Filtered_Large,1,1758.239437,290.340566,63.0000,0.6
21,0,Filtered_Small,0,746.869316,240.198935,44.0000,0.6
21,0,Filtered_Large,1,1032.188351,212.091629,59.0000,0.3
21,1,Filtered_Small,0,216.045682,339.122685,50.0000,0.4
21,1,Filtered_Large,1,511.418857,253.091332,68.0000,0.3
21,2,Filtered_Small,0,1436.970168,569.417185,27.0000,0.3
21,2,Filtered_Large,1,1596.298866,619.330795,70.0000,0.4
21,3,Filtered_Small,0,1406.072297,331.603035,56.0000,0.3
21,3,Filtered_Large,1,1784.456276,290.032246,63.0000,0.7
22,0,Filtered_Small,0,764.273813,227.695252,45.0000,0.6
22,0,Filtered_Large,1,1051.100969,199.280146,59.0000,0.3
22,1,Filtered_Small,0,215.981133,325.335040,51.0000,0.4
22,1,Filtered_Large,1,514.504383,238.323209,68.0000,0.4
22,2,Filtered_Small,0,1315.402984,581.448839,38.0000,0.4
22,2,Filtered_Large,1,1572.397784,627.395166,67.0000,0.4
22,3,Filtered_Small,0,1523.735139,60.610792,23.0000,0.3
22,3,Filtered_Large,1,1775.659922,288.401545,66.0000,0.6
23,0,Filtered_Small,0,786.745141,203.994852,45.0000,0.6
23,0,Filtered_Large,1,1074.452674,178.582121,60.0000,0.4
23,1,Filtered_Small,0,219.141352,300.833316,51.0000,0.5
23,1,Filtered_Large,1,520.175857,212.036886,69.0000,0.3
23,2,Filtered_Small,0,1708.879281,663.119590,23.0000,0.4
23,2,Filtered_Large,1,1395.300164,591.457819,85.0000,0.4
23,3,Filtered_Small,0,1556.522168,259.557601,33.0000,0.3
23,3,Filtered_Large,1,1763.458002,305.473124,64.0000,0.6
24,0,Filtered_Small,0,825.331482,188.034054,44.0000,0.6
24,0,Filtered_Large,1,1112.483124,164.696733,59.0000,0.4
24,1,Filtered_Small,0,252.445621,275.460107,50.0000,0.4
24,1,Filtered_Large,1,556.324279,189.747970,70.0000,0.4
24,2,Filtered_Small,0,1697.546096,661.138441,20.0000,0.4
24,2,Filtered_Large,1,1223.936636,619.684495,37.0000,0.4
24,3,Filtered_Small,0,1505.566191,281.168894,25.0000,0.3
24,3,Filtered_Large,1,1716.377084,326.245368,64.0000,0.6
25,0,Filtered_Small,0,854.019901,185.204842,45.0000,0.6
25,0,Filtered_Large,1,1140.643972,163.085062,59.0000,0.3
25,1,Filtered_Small,0,286.747292,264.858911,51.0000,0.4
25,1,Filtered_Large,1,591.465318,182.026180,70.0000,0.4
25,2,Filtered_Small,0,1289.997152,623.632091,37.0000,0.4
25,2,Filtered_Large,1,1672.924561,656.689731,49.0000,0.4
25,3,Filtered_Small,0,1459.980756,287.107643,30.0000,0.4
25,3,Filtered_Large,1,1670.399869,340.562918,64.0000,0.6
26,0,Filtered_Small,0,830.061713,186.965576,45.0000,0.6
26,0,Filtered_Large,1,1117.060970,165.309541,60.0000,0.3
26,1,Filtered_Small,0,266.578401,271.624401,50.0000,0.5
26,1,Filtered_Large,1,569.889004,187.142930,69.0000,0.4
26,2,Filtered_Small,0,1320.655251,616.579063,36.0000,0.4
26,2,Filtered_Large,1,1212.693448,632.707491,38.0000,0.4
26,3,Filtered_Small,0,1493.901001,303.431412,27.0000,0.4
26,3,Filtered_Large,1,1702.139338,337.283199,63.0000,0.6
27,0,Filtered_Small,0,793.221700,206.628526,43.0000,0.6
27,0,Filtered_Large,1,1078.779759,180.112287,59.0000,0.3
27,1,Filtered_Small,0,247.198222,297.992084,50.0000,0.4
27,1,Filtered_Large,1,545.397811,209.179244,68.0000,0.4
27,2,Filtered_Small,0,1711.155681,662.043726,25.0000,0.4
27,2,Filtered_Large,1,1277.815148,621.635394,27.0000,0.4
27,3,Filtered_Small,0,1349.083094,371.563795,61.0000,0.3
27,3,Filtered_Large,1,1738.109761,327.663354,65.0000,0.6
28,0,Filtered_Small,0,815.961282,239.467871,44.0000,0.5
28,0,Filtered_Large,1,1099.445890,216.576144,59.0000,0.4
28,1,Filtered_Small,0,311.448825,320.319127,50.0000,0.4
28,1,Filtered_Large,1,605.267077,238.146522,68.0000,0.4
28,2,Filtered_Small,0,1725.978550,665.280350,24.0000,0.4
28,2,Filtered_Large,1,1241.694407,580.405783,44.0000,0.3
28,3,Filtered_Small,0,1223.525103,398.130877,39.0000,0.3
28,3,Filtered_Large,1,1667.307944,326.254208,63.0000,0.7
29,0,Filtered_Small,0,748.256867,277.012622,43.0000,0.5
29,0,Filtered_Large,1,1029.683816,247.738739,58.0000,0.3
29,1,Filtered_Small,0,274.342178,368.507827,49.0000,0.4
29,1,Filtered_Large,1,562.430863,283.214702,66.0000,0.4
29,2,Filtered_Small,0,1318.769440,176.985359,25.0000,0.2
29,2,Filtered_Large,1,1589.646569,600.107782,64.0000,0.3
29,3,Filtered_Small,0,1731.651796,305.156339,63.0000,0.7
29,3,Filtered_Large,1,1344.861527,358.537688,75.0000,0.3
30,0,Filtered_Small,0,711.765098,317.250664,43.0000,0.4
30,0,Filtered_Large,1,986.949996,283.974608,57.0000,0.3
30,1,Filtered_Small,0,271.773024,413.809435,49.0000,0.4
30,1,Filtered_Large,1,552.851450,327.437048,66.0000,0.3
30,2,Filtered_Small,0,1372.926288,172.857655,30.0000,0.2
30,2,Filtered_Large,1,1635.766124,557.748620,59.0000,0.3
