Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
112,0,Filtered_Small,0,530.987919,591.149680,2.5009,0.5
112,0,Filtered_Large,1,492.957905,936.041336,3.3915,0.5
112,1,Filtered_Small,0,689.608800,976.477338,4.0072,0.5
112,1,Filtered_Large,1,672.388192,978.063078,2.9292,0.5
112,2,Filtered_Small,0,582.532827,858.987107,1.5895,0.5
112,2,Filtered_Large,1,558.429046,591.229789,7.7216,0.5
112,3,Filtered_Small,0,687.732092,524.231815,13.5630,0.5
112,3,Filtered_Large,1,722.464320,813.974293,13.8457,0.5
221,0,Filtered_Small,0,553.398085,452.268312,3.4677,0.5
221,0,Filtered_Large,1,511.985710,766.759339,3.5058,0.5
221,1,Filtered_Small,0,371.356651,526.275947,3.3366,0.5
221,1,Filtered_Large,1,330.366073,827.048664,2.9551,0.5
221,2,Filtered_Small,0,841.783436,496.496606,2.8691,0.5
221,2,Filtered_Large,1,826.877969,499.853830,2.5073,0.5
221,3,Filtered_Small,0,699.099774,429.077605,13.0177,0.5
221,3,Filtered_Large,1,744.866068,747.927938,13.2902,0.5
227,0,Filtered_Small,0,562.614545,451.697687,3.3213,0.5
227,0,Filtered_Large,1,522.116637,765.858065,3.4685,0.5
227,1,Filtered_Small,0,365.027484,526.251218,3.4836,0.5
227,1,Filtered_Large,1,323.745708,826.040822,3.4582,0.5
227,2,Filtered_Small,0,848.146251,496.991908,3.0495,0.5
227,2,Filtered_Large,1,833.167216,500.786611,2.6270,0.5
227,3,Filtered_Small,0,690.977013,430.244966,12.9385,0.5
227,3,Filtered_Large,1,736.195545,750.567047,13.4133,0.5
235,0,Filtered_Small,0,574.240791,456.934905,3.4100,0.5
235,0,Filtered_Large,1,534.898436,770.830253,4.0982,0.5
235,1,Filtered_Small,0,371.090118,531.704472,3.4895,0.5
235,1,Filtered_Large,1,329.942355,831.133073,3.6201,0.5
235,2,Filtered_Small,0,842.158468,503.049193,3.0900,0.5
235,2,Filtered_Large,1,827.432123,506.499498,2.6677,0.5
235,3,Filtered_Small,0,679.768132,436.201643,13.2077,0.5
235,3,Filtered_Large,1,723.980385,757.103642,13.7657,0.5
247,0,Filtered_Small,0,582.512499,461.617858,3.5583,0.5
247,0,Filtered_Large,1,544.117378,777.978993,3.1321,0.5
247,1,Filtered_Small,0,413.352974,535.308969,3.3366,0.5
247,1,Filtered_Large,1,373.579577,836.216487,3.2175,0.5
247,2,Filtered_Small,0,786.850596,508.035201,2.5021,0.5
247,2,Filtered_Large,1,801.425466,504.367294,3.1399,0.5
247,3,Filtered_Small,0,667.959700,437.356762,12.7832,0.5
247,3,Filtered_Large,1,709.837518,754.963337,13.1638,0.5
251,0,Filtered_Small,0,585.166975,462.498734,3.4115,0.5
251,0,Filtered_Large,1,547.877286,780.374245,3.4313,0.5
251,1,Filtered_Small,0,432.947334,536.094900,3.1675,0.5
251,1,Filtered_Large,1,393.835596,838.040356,3.2553,0.5
251,2,Filtered_Small,0,768.218192,507.941260,2.4534,0.5
251,2,Filtered_Large,1,782.787465,504.258053,3.2138,0.5
251,3,Filtered_Small,0,663.424602,436.774792,13.2887,0.5
251,3,Filtered_Large,1,704.570485,752.989801,13.8619,0.5
518,0,Filtered_Small,0,787.501588,222.478784,3.2812,0.5
518,0,Filtered_Large,1,733.289773,555.093183,3.7170,0.5
518,1,Filtered_Small,0,970.190975,623.482660,4.0734,0.5
518,1,Filtered_Large,1,985.444911,623.415070,3.5268,0.5
518,2,Filtered_Small,0,315.704170,556.092590,2.2172,0.5
518,2,Filtered_Large,1,333.757682,302.992267,3.5771,0.5
