Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
1,0,Raw,0,1224.1756,718.0899,10.0000,0.0000
1,0,Raw,1,700.1312,914.3890,10.0000,0.0000
1,1,Raw,0,1224.1756,718.0899,10.0000,0.0000
1,1,Raw,1,700.1312,914.3890,10.0000,0.0000
1,2,Raw,0,1224.1756,718.0899,10.0000,0.0000
1,2,Raw,1,700.1312,914.3890,10.0000,0.0000
1,3,Raw,0,1224.1756,718.0899,10.0000,0.0000
1,3,Raw,1,700.1312,914.3890,10.0000,0.0000
582,0,Raw,0,216.2071,167.9372,10.0000,0.0000
582,0,Raw,1,10.0269,866.1218,10.0000,0.0000
582,1,Raw,0,546.6135,261.9194,10.0000,0.0000
582,1,Raw,1,400.1157,912.5211,10.0000,0.0000
582,2,Raw,0,762.5720,241.5512,10.0000,0.0000
582,2,Raw,1,884.6962,753.2017,10.0000,0.0000
582,3,Raw,0,830.0679,165.2642,10.0000,0.0000
582,3,Raw,1,1011.2092,716.6482,10.0000,0.0000
583,0,Raw,0,210.2778,165.4099,10.0000,0.0000
583,0,Raw,1,3.6260,862.7978,10.0000,0.0000
583,1,Raw,0,541.6925,259.2295,10.0000,0.0000
583,1,Raw,1,393.2578,909.6878,10.0000,0.0000
583,2,Raw,0,766.8931,239.3251,10.0000,0.0000
583,2,Raw,1,890.2903,750.8742,10.0000,0.0000
583,3,Raw,0,834.9981,163.0531,10.0000,0.0000
583,3,Raw,1,1017.8849,713.9749,10.0000,0.0000
676,0,Raw,0,187.4580,155.8209,10.0000,0.0000
676,0,Raw,1,3.3922,856.9913,10.0000,0.0000
676,1,Raw,0,511.6047,248.8420,10.0000,0.0000
676,1,Raw,1,368.4179,904.4921,10.0000,0.0000
676,2,Raw,0,791.7922,231.3780,10.0000,0.0000
676,2,Raw,1,908.7676,750.2728,10.0000,0.0000
676,3,Raw,0,855.8353,154.0125,10.0000,0.0000
676,3,Raw,1,1024.2083,713.8945,10.0000,0.0000
677,0,Raw,0,190.6672,159.4723,10.0000,0.0000
677,0,Raw,1,8.1213,861.4341,10.0000,0.0000
677,1,Raw,0,513.1751,252.4463,10.0000,0.0000
677,1,Raw,1,371.9779,908.4997,10.0000,0.0000
677,2,Raw,0,790.3172,234.1740,10.0000,0.0000
677,2,Raw,1,905.9086,753.8675,10.0000,0.0000
677,3,Raw,0,853.1603,156.9406,10.0000,0.0000
677,3,Raw,1,1019.2516,717.8317,10.0000,0.0000
846,0,Raw,0,408.7125,286.9700,10.0000,0.0000
846,0,Raw,1,544.5328,1019.5253,10.0000,0.0000
846,1,Raw,0,766.7717,371.6763,10.0000,0.0000
846,1,Raw,1,862.7511,1019.6755,10.0000,0.0000
846,2,Raw,0,571.5657,333.1139,10.0000,0.0000
846,2,Raw,1,482.9801,877.2880,10.0000,0.0000
846,3,Raw,0,669.9447,262.0579,10.0000,0.0000
846,3,Raw,1,581.6180,824.8160,10.0000,0.0000
847,0,Raw,0,398.0556,283.7586,10.0000,0.0000
847,0,Raw,1,538.1727,1018.3818,10.0000,0.0000
847,1,Raw,0,768.3906,368.4358,10.0000,0.0000
847,1,Raw,1,857.4525,1018.8033,10.0000,0.0000
847,2,Raw,0,577.1075,330.6725,10.0000,0.0000
847,2,Raw,1,489.2004,874.5630,10.0000,0.0000
847,3,Raw,0,675.3077,259.3811,10.0000,0.0000
847,3,Raw,1,587.9014,822.2253,10.0000,0.0000
861,0,Raw,0,303.1230,234.2442,10.0000,0.0000
861,0,Raw,1,421.7040,978.2241,10.0000,0.0000
861,1,Raw,0,715.1504,321.6690,10.0000,0.0000
861,1,Raw,1,794.7455,990.6476,10.0000,0.0000
861,2,Raw,0,627.9119,294.3633,10.0000,0.0000
861,2,Raw,1,548.0489,834.7668,10.0000,0.0000
861,3,Raw,0,746.4348,220.8745,10.0000,0.0000
861,3,Raw,1,668.8417,784.3923,10.0000,0.0000
866,0,Raw,0,280.1277,220.8520,10.0000,0.0000
866,0,Raw,1,404.6818,963.5499,10.0000,0.0000
866,1,Raw,0,704.5004,308.2972,10.0000,0.0000
866,1,Raw,1,784.1653,978.6315,10.0000,0.0000
866,2,Raw,0,640.8983,284.5518,10.0000,0.0000
866,2,Raw,1,561.4745,823.8503,10.0000,0.0000
866,3,Raw,0,763.5797,210.5041,10.0000,0.0000
866,3,Raw,1,687.7910,773.6446,10.0000,0.0000
867,0,Raw,0,275.4822,218.6012,10.0000,0.0000
867,0,Raw,1,399.6050,961.6288,10.0000,0.0000
867,1,Raw,0,701.8741,306.2458,10.0000,0.0000
867,1,Raw,1,781.5723,977.0690,10.0000,0.0000
867,2,Raw,0,643.1169,283.2287,10.0000,0.0000
867,2,Raw,1,563.9130,822.3311,10.0000,0.0000
867,3,Raw,0,766.9963,208.7156,10.0000,0.0000
867,3,Raw,1,691.3804,771.9711,10.0000,0.0000
868,0,Raw,0,270.7756,216.3275,10.0000,0.0000
868,0,Raw,1,394.1710,959.9493,10.0000,0.0000
868,1,Raw,0,699.0515,304.4554,10.0000,0.0000
868,1,Raw,1,778.4748,975.9006,10.0000,0.0000
868,2,Raw,0,646.1818,281.6266,10.0000,0.0000
868,2,Raw,1,566.8808,820.6139,10.0000,0.0000
868,3,Raw,0,770.6851,207.1946,10.0000,0.0000
868,3,Raw,1,695.6220,770.4579,10.0000,0.0000
869,0,Raw,0,265.7785,214.2913,10.0000,0.0000
869,0,Raw,1,388.2687,957.5291,10.0000,0.0000
869,1,Raw,0,696.3011,302.6746,10.0000,0.0000
869,1,Raw,1,775.4941,974.6587,10.0000,0.0000
869,2,Raw,0,648.3775,280.4674,10.0000,0.0000
869,2,Raw,1,569.6636,818.7770,10.0000,0.0000
869,3,Raw,0,774.3082,205.8804,10.0000,0.0000
869,3,Raw,1,699.6589,768.9717,10.0000,0.0000
876,0,Raw,0,233.3306,205.0438,10.0000,0.0000
876,0,Raw,1,344.4453,950.3445,10.0000,0.0000
876,1,Raw,0,671.9682,293.1635,10.0000,0.0000
876,1,Raw,1,749.1746,968.6904,10.0000,0.0000
876,2,Raw,0,668.2769,273.3848,10.0000,0.0000
876,2,Raw,1,591.8384,811.0931,10.0000,0.0000
876,3,Raw,0,798.9925,198.1555,10.0000,0.0000
876,3,Raw,1,726.2250,762.0748,10.0000,0.0000
891,0,Raw,0,179.2513,203.1132,10.0000,0.0000
891,0,Raw,1,285.3765,947.3608,10.0000,0.0000
891,1,Raw,0,629.4776,289.1881,10.0000,0.0000
891,1,Raw,1,703.5895,968.9478,10.0000,0.0000
891,2,Raw,0,704.6812,271.6062,10.0000,0.0000
891,2,Raw,1,631.4501,808.0611,10.0000,0.0000
891,3,Raw,0,841.3509,195.7517,10.0000,0.0000
891,3,Raw,1,771.0733,760.9001,10.0000,0.0000
1056,0,Raw,0,789.7834,183.4116,10.0000,0.0000
1056,0,Raw,1,912.9834,927.0237,10.0000,0.0000
1056,1,Raw,0,1005.7030,292.2494,10.0000,0.0000
1056,1,Raw,1,1090.1211,927.0403,10.0000,0.0000
1056,2,Raw,0,330.2361,257.2969,10.0000,0.0000
1056,2,Raw,1,244.0553,817.5493,10.0000,0.0000
1056,3,Raw,0,373.6973,186.8473,10.0000,0.0000
1056,3,Raw,1,298.5136,751.3767,10.0000,0.0000
1071,0,Raw,0,750.1510,172.2285,10.0000,0.0000
1071,0,Raw,1,854.9975,917.3163,10.0000,0.0000
1071,1,Raw,0,978.7175,281.1678,10.0000,0.0000
1071,1,Raw,1,1056.1065,920.7589,10.0000,0.0000
1071,2,Raw,0,357.6849,248.4136,10.0000,0.0000
1071,2,Raw,1,281.0321,807.8895,10.0000,0.0000
1071,3,Raw,0,403.7019,177.5316,10.0000,0.0000
1071,3,Raw,1,341.7321,743.5159,10.0000,0.0000
1100,0,Raw,0,562.2962,193.2551,10.0000,0.0000
1100,0,Raw,1,589.7455,939.7793,10.0000,0.0000
1100,1,Raw,0,867.7655,293.9618,10.0000,0.0000
1100,1,Raw,1,937.2776,945.7543,10.0000,0.0000
1100,2,Raw,0,479.9730,264.9553,10.0000,0.0000
1100,2,Raw,1,421.1548,806.0183,10.0000,0.0000
1100,3,Raw,0,548.0626,192.3210,10.0000,0.0000
1100,3,Raw,1,533.7317,748.9892,10.0000,0.0000
1102,0,Raw,0,552.5133,196.3945,10.0000,0.0000
1102,0,Raw,1,575.6470,942.1945,10.0000,0.0000
1102,1,Raw,0,859.9190,296.0609,10.0000,0.0000
1102,1,Raw,1,929.1464,948.1228,10.0000,0.0000
1102,2,Raw,0,486.9222,266.9332,10.0000,0.0000
1102,2,Raw,1,429.1211,807.0672,10.0000,0.0000
1102,3,Raw,0,555.6071,194.4610,10.0000,0.0000
1102,3,Raw,1,544.0745,750.2234,10.0000,0.0000
