Time,WTG01.Wind_Direction,WTG01.Wind_Speed,WTG01.Rotor_Speed,WTG01.Power,WTG01.Yaw_Angle,WTG02.Wind_Direction,WTG02.Wind_Speed,WTG02.Rotor_Speed,WTG02.Power,WTG02.Yaw_Angle,WTG03.Wind_Direction,WTG03.Wind_Speed,WTG03.Rotor_Speed,WTG03.Power,WTG03.Yaw_Angle,WTG04.Wind_Direction,WTG04.Wind_Speed,WTG04.Rotor_Speed,WTG04.Power,WTG04.Yaw_Angle,WTG05.Wind_Direction,WTG05.Wind_Speed,WTG05.Rotor_Speed,WTG05.Power,WTG05.Yaw_Angle,WTG06.Wind_Direction,WTG06.Wind_Speed,WTG06.Rotor_Speed,WTG06.Power,WTG06.Yaw_Angle,WTG07.Wind_Direction,WTG07.Wind_Speed,WTG07.Rotor_Speed,WTG07.Power,WTG07.Yaw_Angle,WTG08.Wind_Direction,WTG08.Wind_Speed,WTG08.Rotor_Speed,WTG08.Power,WTG08.Yaw_Angle,WTG09.Wind_Direction,WTG09.Wind_Speed,WTG09.Rotor_Speed,WTG09.Power,WTG09.Yaw_Angle,WTG10.Wind_Direction,WTG10.Wind_Speed,WTG10.Rotor_Speed,WTG10.Power,WTG10.Yaw_Angle,WTG11.Wind_Direction,WTG11.Wind_Speed,WTG11.Rotor_Speed,WTG11.Power,WTG11.Yaw_Angle,WTG12.Wind_Direction,WTG12.Wind_Speed,WTG12.Rotor_Speed,WTG12.Power,WTG12.Yaw_Angle,WTG13.Wind_Direction,WTG13.Wind_Speed,WTG13.Rotor_Speed,WTG13.Power,WTG13.Yaw_Angle,WTG14.Wind_Direction,WTG14.Wind_Speed,WTG14.Rotor_Speed,WTG14.Power,WTG14.Yaw_Angle,WTG15.Wind_Direction,WTG15.Wind_Speed,WTG15.Rotor_Speed,WTG15.Power,WTG15.Yaw_Angle
2018-03-05 00:05:00+00:00,232,24.12,10.77,7001.94,228.62,227,23.97,10.25,6977.97,231.94,227,24.34,11,6995.01,231.23,234,23.11,10.15,6991.62,228.72,232,24.55,10.25,7015.34,228.73,232,24.01,11,6989.21,229.55,240,23.89,10.37,6996.84,227.45,245,23.75,10,7008.28,228.13,232,24.1,10.33,6990.83,233.56,234,22.53,10,7014.84,234.72,222,24.32,11,6991.53,232.61,241,22.87,10.26,7003.09,229.49,230,23.02,11,6995.54,238.63,228,23.27,10.31,7009.77,235.24,221,24.08,10.56,6999.14,228.4
2018-03-05 00:10:00+00:00,228,23.31,10.67,7011.8,231.37,233,23.15,10.76,7021.27,233.91,234,23.44,10.88,7008.09,233.83,226,23.45,10,7001.16,231.33,236,23.84,10.76,6996.4,233.98,244,23.89,11,7010,231.34,238,23.19,10.58,6997.63,233.15,240,23.39,10,6993.24,232.6,234,23.89,10.82,7001.31,235.9,234,22.63,10.62,6999.25,237.56,238,23.86,10.24,6998.8,234.79,238,23.13,10.73,7002.82,231.79,240,22.83,10.82,7019.39,238.7,237,22.89,10.7,7000.14,237.63,244,23.19,10.49,7005.07,228.4
2018-03-05 00:15:00+00:00,229,23.81,10.29,7000.07,231.14,229,23.44,10.25,6993.26,233.96,230,23.46,10.39,6998.79,233.8,231,22.76,10.21,6998.57,231.43,244,23.41,10.35,6993.59,233.88,225,23.69,10.73,6990.23,231.29,233,22.49,10.51,7001.41,232.99,226,22.96,10.17,7000.78,232.54,230,24.42,11,7003.79,235.88,254,23.43,10.37,7003.76,237.53,233,23.4,10,7002.48,234.75,227,23.32,10.33,6992.93,231.77,234,23.24,10.33,6988.77,238.77,237,24.27,10.3,6997.48,237.73,232,23.94,10.46,6994.68,230.43
2018-03-05 00:20:00+00:00,237,23.89,10.76,6995.7,229.08,236,22.82,10.94,7006.64,231.87,234,22.85,10.59,6999.59,233.76,233,22.9,10.66,7009.18,231.52,236,23.36,10.64,7006.55,231.62,235,23.18,10.24,7003.92,229.2,236,22.84,10.49,7006.54,231.02,227,22.74,10.74,7003.65,232.62,228,23.86,10.85,6998.43,233.27,237,22.6,10.62,6997.18,237.57,229,24.1,10.58,6993.21,234.8,227,23.46,10.67,6998.64,231.84,234,23.77,10.68,6991.05,238.84,236,24.12,11,6997.74,237.66,229,23.53,10.56,7002.64,230.48
2018-03-05 00:25:00+00:00,231,23.18,10.24,7007.65,229.01,241,23.35,11,7005.04,233.74,239,22.98,10.42,6995.02,235.65,230,22.83,10.33,6994.62,231.61,235,22.89,10.39,6998.64,235.63,233,23.33,10.76,7004.56,233.66,243,21.84,11,6997.94,231.23,237,22.96,10.24,6995.96,234.63,232,22.59,10.35,6999.29,233.73,252,22.9,10.41,7002.57,237.61,233,22.83,10.42,7004.23,234.78,232,22.86,10.33,6994.95,231.92,235,22.52,10.34,7014.68,238.91,243,22.72,11,6992.72,237.63,239,22.65,10.44,6996.57,230.4
2018-03-05 00:30:00+00:00,240,23.47,10,6993.04,233.9,231,23.56,10.31,6999.71,236.02,244,23.22,10.03,7003.96,238.31,240,22.63,10.68,7008.37,236.52,234,23.63,10.61,6992.03,238.21,236,23.51,10.27,6997.64,234.28,233,23.29,10.96,7002.22,235.51,238,23.5,10,6999.61,236.85,238,22.83,10.79,7013.22,235.6,239,23.32,10.55,6991.62,239.58,236,22.6,10.56,6996.6,234.77,230,22.16,10.01,7003.37,231.99,237,22.55,10.63,6987.21,238.98,245,22.4,10.71,6996.14,237.75,234,22.12,10.58,6999,232.83
2018-03-05 00:35:00+00:00,250,22.43,10,6999.43,235.93,234,23.3,10.68,6996.34,238.73,236,23.08,10,6999.7,240.55,244,23.41,10.18,6997.08,238.78,240,23.89,10.39,7006.79,238.14,240,22.33,10,7004.36,235.9,235,23.21,10.56,6998.26,237.8,225,23.31,10,6996.97,236.78,237,22.33,11,6988.24,240.07,245,23.31,10.51,7007.12,242.7,238,23.22,10.5,6999.69,239.21,238,21.8,10,7005.55,235.88,251,22.57,10.43,7004.36,244.02,242,22.37,10.21,7006.71,240.57,228,22.19,10.11,6990.05,234.91
2018-03-05 00:40:00+00:00,263,23.23,10.75,7000.32,238.35,241,22.8,10.32,7004.76,240.86,245,22.3,10.65,7004.12,242.62,244,23.24,10,6997.62,238.85,238,22.59,10.71,6999.72,240.41,238,22.31,10.03,6992.28,238,233,23.15,10.41,6998.31,237.86,248,22.95,10.76,7013.06,238.82,238,23.08,10.26,6999.87,240.82,245,22.68,10.46,6998.64,244.35,254,23.39,10.56,7002.17,241.27,238,22.62,10.67,6999.24,238.22,253,23.03,10.56,7001.93,244.04,249,22.52,10,7000.54,242.64,239,21.69,10,7006.37,237.25
2018-03-05 00:45:00+00:00,246,22.59,10.28,7002.4,240.65,244,22.63,10.66,6997.43,243.08,241,21.58,11,6994.05,242.51,234,22.14,10.19,7001.6,241.59,255,22.58,11,7000.21,243.11,235,22.17,10.78,7006.12,240.16,232,22.35,10.6,6998.51,239.91,238,22.22,10.29,6991.17,240.87,238,22.41,10,6996.44,242.67,244,22.48,11,7005.05,246.67,237,22.88,11,6998.47,241.29,247,22.03,10.35,6999.39,238.2,247,22.49,10.46,7002.48,244.09,243,22.13,10.06,7002.33,242.66,237,21.93,10.27,7000.19,237.14
2018-03-05 00:50:00+00:00,241,22.69,10.86,7001.46,240.7,244,22.29,10.82,7002.36,243.11,244,21.28,10.51,6991.8,245.01,250,22.28,10.69,6984.78,241.96,247,22.27,10.46,6987.26,243.14,241,21.74,10.3,6991.19,240.23,246,21.87,10.35,7006.26,240.12,238,21.86,10.7,6998.43,241.36,243,21.55,10.6,7002.69,244.45,259,21.72,10.72,6992.59,246.72,238,22.34,10.53,6996.17,243.4,234,22.56,10.73,6990.27,241.27,246,21.94,10.04,6997.38,247.6,254,21.51,10.76,6985.51,245.18,244,22.55,10.62,6996.14,239.67
